"Nottingham, England Hourly Weather Data",,,,,,,,,,,,,,,,,,,
Station No,Date,Time,Temperature(C),Dew Point(C),Visibiliy(km),Rainfall(mm),Wind Speed(mph),Wind Gust(mph),Wind Direction (deg),Pressure (mb),Pressure Tendency,Pressure Tendency Amount (mb),Sunshine Duration (hrs),Solar Radation (kJ/m2),Weather, VPD (mb), VP (mb), SVP (mb),RH (%) 
3354,23/06/2020,00:00:00,15,10.3,35,0,6.9,,220,1022,Increasing,0.5,,,Clear skies,4.52,12.54,17.06,73
3354,23/06/2020,01:00:00,14,10.3,30,0,4.6,,200,1022,Steady,0,0,0,Clear skies,3.45,12.54,15.99,78
3354,23/06/2020,02:00:00,13.4,10.3,30,0,3.5,,190,1022,Steady,0,0,0,Clear spells,2.84,12.54,15.38,82
3354,23/06/2020,03:00:00,13.2,10.4,28,0,4.6,,200,1022,Decreasing,0.1,0,0,Clear spells,2.56,12.62,15.18,83
3354,23/06/2020,04:00:00,12.6,10.3,27,0,4.6,,200,1022.4,Increasing,0.4,0,0,Clear skies,2.06,12.54,14.59,86
3354,23/06/2020,05:00:00,13,10.5,28,0,4.6,,180,1022.7,Increasing,0.7,0.4,148,Clear skies,2.28,12.7,14.98,85
3354,23/06/2020,06:00:00,14,10.6,30,0,5.8,,200,1022.9,Increasing,1,1,462,Clear skies,3.2,12.79,15.99,80
3354,23/06/2020,07:00:00,15.5,11.1,30,0,8.1,,220,1023.1,Increasing,0.8,1,1074,Clear skies,4.39,13.22,17.62,75
3354,23/06/2020,08:00:00,17.6,12.4,40,0,8.1,,210,1023.5,Increasing,1,1,1560,Clear spells,5.72,14.41,20.13,72
3354,23/06/2020,09:00:00,19.1,13.6,65,0,10.4,,210,1023.5,Increasing,0.8,1,1985,Clear spells,6.53,15.58,22.12,70
3354,23/06/2020,10:00:00,19.7,13.1,50,0,10.4,,250,1023.5,Increasing,0.6,1,2556,Clear spells,7.88,15.08,22.96,66
3354,23/06/2020,11:00:00,20.9,11,55,0,10.4,,220,1023.3,Steady,0,1,2982,Clear skies,11.59,13.14,24.72,53
3354,23/06/2020,12:00:00,21.9,10.3,45,0,10.4,,220,1023.1,Decreasing,0.2,1,2932,Clear skies,13.75,12.54,26.29,48
3354,23/06/2020,13:00:00,23.6,10.4,55,0,9.2,,220,1022.7,Decreasing,0.7,1,3046,Clear skies,16.52,12.62,29.14,43
3354,23/06/2020,14:00:00,24.5,11.7,40,0,6.9,,190,1022.5,Decreasing,0.7,1,2960,Clear skies,17,13.76,30.75,45
3354,23/06/2020,15:00:00,24.7,12.7,40,0,8.1,,180,1022,Decreasing,1,1,2693,Clear skies,16.43,14.69,31.12,47
3354,23/06/2020,16:00:00,25.4,13.5,40,0,8.1,,180,1021.5,Decreasing,1.1,1,2318,Clear skies,16.97,15.48,32.45,48
3354,23/06/2020,17:00:00,25.4,13.7,40,0,9.2,,170,1021.1,Decreasing,1.3,1,1746,Clear skies,16.77,15.68,32.45,48
3354,23/06/2020,18:00:00,25.2,14.1,40,0,10.4,,170,1021.1,Decreasing,0.9,1,1159,Clear skies,15.97,16.09,32.07,50
3354,23/06/2020,19:00:00,24.8,14.8,40,0,5.8,,180,1021,Decreasing,0.6,1,684,Clear skies,14.47,16.84,31.31,54
3354,23/06/2020,20:00:00,23.6,14.9,40,0,5.8,,180,1021,Decreasing,0.2,0.5,293,Clear skies,12.19,16.95,29.14,58
3354,23/06/2020,21:00:00,21.9,14.6,35,0,4.6,,160,1021.4,Increasing,0.2,0,26,Clear skies,9.66,16.63,26.29,63
3354,23/06/2020,22:00:00,20.3,15,11,0,3.5,,160,1021.5,Increasing,0.3,0,0,Clear skies,6.77,17.06,23.83,72
3354,23/06/2020,23:00:00,20.1,15.2,30,0,4.6,,150,1021.5,Increasing,0.4,0,0,Clear skies,6.25,17.28,23.53,73
